Intake.Type,Intake.Subtype,Animal.Type,Sex,Intake.Condition,Breed,Coat.Color.Pattern,Week.Number,Age
STRAY,FIELD,DOG,N,NORMAL,SHETLD SHEEPDOG,TAN,11.29,1.982
STRAY,OTC,DOG,N,NORMAL,AMER BULLDOG,BLACK,11.29,1.993
OWNER SUR,OTC,DOG,S,NORMAL,AUST SHEPHERD,BROWN,11.29,3.186
STRAY,EMERG CLC,DOG,S,NORMAL,BORDER COLLIE,BROWN,11.29,2.186
STRAY,OTC,DOG,N,INJURED,CHIHUAHUA SH,BROWN,11.29,2.186
OWNER SUR,OTC,DOG,M,NORMAL,CHIHUAHUA LH,BLACK,11.29,2.186
OWNER SUR,OTC,DOG,M,NORMAL,CHIHUAHUA SH,BLACK,11.29,2.186
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,TORBIE,11.29,2.186
OWNER SUR,OTC,DOG,S,NORMAL,LABRADOR RETR,BUFF,11.29,2.186
STRAY,OTC,DOG,N,NORMAL,ST BERNARD SMTH,WHITE,11.29,2.186
STRAY,EMERG CLC,CAT,U,INJURED,DOMESTIC SH,WHITE,11.29,2.219
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,WHITE,11.29,2.974
OWNER SUR,OTC,DOG,N,NORMAL,POODLE MIN,WHITE,11.29,2.996
STRAY,FIELD,DOG,S,NORMAL,PIT BULL,WHITE,11.29,2.996
STRAY,OTC,DOG,S,NORMAL,CHIHUAHUA SH,TRICOLOR,11.29,2.996
STRAY,FIELD,DOG,N,NORMAL,COLLIE ROUGH,BLACK,11.29,18.216
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BLUE TABBY,11.29,18.23
STRAY,OTC,DOG,N,NORMAL,CHIHUAHUA SH,WHITE,11.29,18.246
STRAY,OTC,DOG,F,NURSING,BLACK/TAN HOUND,BLACK,11.29,18.246
STRAY,FIELD,DOG,S,NORMAL,AUST CATTLE DOG,WHITE,11.29,18.186
STRAY,OTC,CAT,S,PREGNANT,DOMESTIC SH,TORTIE,11.29,13.186
STRAY,FIELD,DOG,N,NORMAL,PIT BULL,BLACK,11.29,13.186
STRAY,FIELD,DOG,N,INJURED,GERM SHEPHERD,BROWN,11.29,13.186
STRAY,FIELD,DOG,N,NORMAL,PIT BULL,BLUE,11.29,13.633
STRAY,FIELD,DOG,N,NORMAL,CHIHUAHUA SH,CHOCOLATE,11.29,19.241
STRAY,OTC,DOG,S,NORMAL,GERM SHEPHERD,BR BRINDLE,11.29,18.186
STRAY,FIELD,DOG,M,NORMAL,STAFFORDSHIRE,BLUE,11.29,18.186
STRAY,OTC,DOG,S,NORMAL,GERM SHEPHERD,BROWN,11.29,20.189
PUBLIC AST,QUARANTINE,CAT,N,INJURED,DOMESTIC SH,WHITE,11.29,20.249
STRAY,OTC,DOG,M,NORMAL,CAVALIER SPAN,RED,11.29,21.482
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,LABRADOR RETR,WHITE,11.29,21.485
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,ORG TABBY,11.29,22.186
PUBLIC AST,QUARANTINE,CAT,N,NORMAL,DOMESTIC SH,SILVER,11.29,21.189
STRAY,OTC,DOG,S,NORMAL,PIT BULL,WHITE,11.29,24.197
OWNER SUR,OTC,DOG,N,NORMAL,JACK RUSS TERR,WHITE,11.29,3.189
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,BLACK,11.29,3.197
EUTH REQ,OTC OWNED,DOG,M,AGED,LABRADOR RETR,BROWN,11.29,7.249
STRAY,OTC,DOG,S,NORMAL,GERM SHEPHERD,BLACK,11.43,1.663
STRAY,OTC,DOG,N,NORMAL,GERM SHEPHERD,TAN,11.43,1.663
STRAY,OTC,DOG,N,NORMAL,GERM SHEPHERD,TAN,11.43,1.663
STRAY,OTC,DOG,N,NORMAL,LABRADOR RETR,BLACK,11.43,1.663
STRAY,OTC,DOG,N,NORMAL,GERM SHEPHERD,BLACK,11.43,1.663
PUBLIC AST,EMERGENCY,DOG,F,NORMAL,GERM SHEPHERD,BLACK,11.43,1.936
STRAY,OTC,DOG,S,NORMAL,SHETLD SHEEPDOG,TAN,11.43,1.985
OWNER SUR,OTC,DOG,S,NORMAL,POINTER,WHITE,11.43,3.103
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLUE TABBY,11.43,3.23
STRAY,FIELD,DOG,S,NORMAL,AUST KELPIE,BROWN,11.43,2.355
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,TORTIE,11.43,13.235
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,CHOCOLATE,11.43,2.186
STRAY,EMERG CLC,CAT,M,SICK,DOMESTIC SH,ORANGE,11.43,2.189
OWNER SUR,OTC,DOG,N,NORMAL,GERM SH POINT,BLACK,11.43,2.799
STRAY,OTC,DOG,N,NORMAL,GERM SHEPHERD,BLACK,11.43,2.974
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,CALICO,11.43,2.977
PUBLIC AST,QUARANTINE,DOG,S,NORMAL,PIT BULL,BROWN,11.43,2.936
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,PIT BULL,BLACK,11.43,2.936
STRAY,FIELD,DOG,S,NORMAL,AM PIT BULL TER,BLUE,11.43,13.186
STRAY,OTC,DOG,N,NORMAL,BLACK MOUTH CUR,TAN,11.43,13.186
STRAY,OTC,DOG,N,NORMAL,POODLE MIN,BLACK,11.43,13.955
PUBLIC AST,QUARANTINE,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,11.43,19.01
PUBLIC AST,QUARANTINE,DOG,S,NORMAL,DACHSHUND,WHITE,11.43,19.055
OWNER SUR,FIELD,DOG,N,NORMAL,AMER BULLDOG,WHITE,11.43,19.16
STRAY,OTC,CAT,S,OTHER,DOMESTIC LH,BLACK,11.43,18.186
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,WHITE,11.43,18.186
STRAY,FIELD,DOG,F,NORMAL,AM PIT BULL TER,TAN,11.43,18.186
STRAY,FIELD,DOG,M,NORMAL,JACK RUSS TERR,WHITE,11.43,18.186
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,PIT BULL,CHOCOLATE,11.43,18.869
STRAY,FIELD,DOG,N,INJURED,CHIHUAHUA SH,BROWN,11.43,18.974
STRAY,OTC,CAT,N,FERAL,DOMESTIC SH,ORG TABBY,11.43,20.235
STRAY,OTC,DOG,N,NORMAL,PIT BULL,BR BRINDLE,11.43,19.189
STRAY,FIELD,DOG,N,NORMAL,LABRADOR RETR,BROWN,11.43,20.189
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,CHOW CHOW,BLACK,11.43,20.985
OWNER SUR,OTC,DOG,N,NORMAL,DOBERMAN PINSCH,BLACK,11.43,21.855
STRAY,OTC,DOG,S,NORMAL,RAT TERRIER,CHOCOLATE,11.43,3.246
STRAY,OTC,DOG,N,OTHER,LABRADOR RETR,BROWN,11.43,3.219
STRAY,OTC,CAT,M,SICK,DOMESTIC MH,WHITE,11.43,3.219
OWNER SUR,OTC,DOG,S,AGED,CAIRN TERRIER,TAN,11.43,4.713
STRAY,OTC,DOG,S,AGED,BELG SHEEPDOG,BLACK,11.43,6.186
STRAY,FIELD,CAT,M,INJURED,DOMESTIC MH,BRN TABBY,11.43,1.086
STRAY,FIELD,DOG,M,SICK,JACK RUSS TERR,WHITE,11.57,1.663
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,11.57,1.829
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,11.57,1.829
OWNER SUR,OTC,CAT,N,NORMAL,SIAMESE,LYNX PT,11.57,1.829
STRAY,FIELD,DOG,M,NORMAL,CHIHUAHUA SH,BLACK,11.57,1.869
STRAY,OTC,DOG,M,NORMAL,AUST CATTLE DOG,WHITE,11.57,1.996
STRAY,FIELD,DOG,N,NORMAL,PIT BULL,BLACK,11.57,3.157
STRAY,FIELD,DOG,F,NORMAL,PIT BULL,BLACK,11.57,2.355
STRAY,FIELD,DOG,S,NORMAL,RAT TERRIER,BLACK,11.57,2.436
STRAY,OTC,DOG,M,NORMAL,PIT BULL,BLACK,11.57,2.186
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,11.57,2.991
STRAY,OTC,DOG,S,NORMAL,ROTTWEILER,BLACK,11.57,2.996
OWNER SUR,OTC,DOG,N,NORMAL,WELSH CORGI CAR,CHOCOLATE,11.57,2.996
STRAY,FIELD,DOG,F,NORMAL,PIT BULL,BLACK,11.57,2.996
STRAY,FIELD,DOG,S,NORMAL,AM PIT BULL TER,BROWN,11.57,18.241
STRAY,OTC,DOG,N,NORMAL,CHIHUAHUA SH,BLACK,11.57,18.243
STRAY,OTC,CAT,F,NORMAL,DOMESTIC SH,BRN TABBY,11.57,13.186
STRAY,FIELD,DOG,M,NORMAL,AMERICAN STAFF,WHITE,11.57,13.186
STRAY,OTC,DOG,S,NORMAL,REDBONE HOUND,RED,11.57,13.186
STRAY,FIELD,DOG,M,NORMAL,CHIHUAHUA SH,TAN,11.57,13.186
STRAY,FIELD,DOG,N,NORMAL,CHIHUAHUA SH,TAN,11.57,13.186
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,CHOCOLATE,11.57,13.263
OWNER SUR,OTC,DOG,N,NORMAL,SCHNAUZER MIN,GRAY,11.57,13.991
STRAY,OTC,DOG,N,NORMAL,AMER BULLDOG,TAN,11.57,19.232
STRAY,OTC,CAT,S,NORMAL,MAINE COON,BRN TABBY,11.57,19.238
OWNER SUR,OTC,DOG,S,NORMAL,CHIHUAHUA LH,TAN,11.57,18.186
PUBLIC AST,QUARANTINE,DOG,M,NORMAL,GERM SHEPHERD,BLACK,11.57,18.186
STRAY,FIELD,DOG,S,NORMAL,PIT BULL,BLACK,11.57,18.98
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,11.57,20.186
STRAY,OTC,DOG,N,NORMAL,DACHSHUND,RED,11.57,21.241
STRAY,OTC,DOG,S,NORMAL,CHIHUAHUA SH,TAN,11.57,21.246
STRAY,OTC,DOG,N,NORMAL,DACHSHUND,RED,11.57,20.189
STRAY,OTC,DOG,S,NORMAL,CHIHUAHUA SH,BROWN,11.57,21.189
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,PIT BULL,WHITE,11.57,21.936
STRAY,FIELD,DOG,M,NORMAL,CHIHUAHUA SH,TRICOLOR,11.57,22.186
STRAY,OTC,DOG,N,NORMAL,LABRADOR RETR,YELLOW,11.57,24.246
STRAY,OTC,DOG,N,NORMAL,LABRADOR RETR,BUFF,11.57,24.246
STRAY,OTC,DOG,N,NORMAL,POODLE TOY,APRICOT,11.57,23.98
STRAY,OTC,DOG,S,NORMAL,POODLE MIN,WHITE,11.57,4.041
STRAY,FIELD,DOG,S,NORMAL,NEWFOUNDLAND,BLACK,11.71,1.663
OWNER SUR,OTC,DOG,S,NORMAL,AUST SHEPHERD,CHOCOLATE,11.71,1.611
STRAY,OTC,DOG,S,NORMAL,SALUKI,WHITE,11.71,1.746
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,11.71,1.829
STRAY,OTC,DOG,N,NORMAL,BASENJI,TAN,11.71,3.152
PUBLIC AST,SURGERY,DOG,N,NORMAL,AMER BULLDOG,FAWN,11.71,14.041
OWNER SUR,OTC,DOG,N,NORMAL,DACHSHUND,BROWN,11.71,13.186
STRAY,FIELD,DOG,S,NORMAL,AUST CATTLE DOG,TRICOLOR,11.71,13.186
STRAY,EMERG CLC,DOG,U,INJURED,GERM SHEPHERD,BROWN,11.71,13.186
STRAY,FIELD,DOG,S,NORMAL,AUST SHEPHERD,WHITE,11.71,13.186
STRAY,FIELD,CAT,M,INJURED,DOMESTIC SH,LYNX PT,11.71,13.186
OWNER SUR,OTC,DOG,N,NORMAL,DACHSHUND,BLACK,11.71,13.907
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,BLACK,11.71,13.985
STRAY,OTC,DOG,N,NORMAL,BORDER COLLIE,BLACK,11.71,13.985
PUBLIC AST,QUARANTINE,CAT,S,NORMAL,DOMESTIC SH,BLUE TABBY,11.71,19.211
STRAY,OTC,DOG,N,NORMAL,PIT BULL,BLACK,11.71,18.186
STRAY,OTC,DOG,F,NORMAL,BORDER TERRIER,BROWN,11.71,18.186
STRAY,OTC,DOG,S,NORMAL,CATAHOULA,BR BRINDLE,11.71,19.189
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,WHITE,11.71,19.189
STRAY,EMERG CLC,DOG,S,INJURED,PIT BULL,BROWN,11.71,19.189
STRAY,OTC,CAT,N,NORMAL,DOMESTIC MH,BLACK,11.71,20.396
PUBLIC AST,QUARANTINE,DOG,S,NORMAL,LABRADOR RETR,BLACK,11.71,20.189
STRAY,FIELD,DOG,S,NORMAL,BASSET HOUND,BROWN,11.71,20.338
STRAY,OTC,DOG,S,NORMAL,GERM SHEPHERD,GRAY,11.71,21.189
STRAY,FIELD,DOG,S,NORMAL,LABRADOR RETR,CHOCOLATE,11.71,21.189
STRAY,OTC,DOG,S,NORMAL,GERM SHEPHERD,WHITE,11.71,24.241
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,LYNX PT,11.71,23.219
OWNER SUR,RETURN,DOG,S,NORMAL,BORDER COLLIE,BLACK,11.71,3.705
OWNER SUR,OTC,DOG,N,NORMAL,BEARDED COLLIE,TAN,11.71,6.249
STRAY,OTC,CAT,N,NORMAL,DOMESTIC LH,BRN TABBY,11.86,1.1
STRAY,OTC,CAT,S,NORMAL,REX,BRN TABBY,11.86,1.26
STRAY,OTC,CAT,N,NURSING,DOMESTIC SH,BLUE,11.86,1.288
STRAY,OTC,CAT,S,NURSING,DOMESTIC SH,BLUE TABBY,11.86,1.288
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,11.86,1.316
STRAY,OTC,CAT,N,NORMAL,DOMESTIC LH,BRN TABBY,11.86,1.316
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,11.86,1.316
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,11.86,1.327
STRAY,OTC,DOG,S,NORMAL,BLACK MOUTH CUR,TAN,11.86,1.663
PUBLIC AST,QUARANTINE,DOG,S,NORMAL,LABRADOR RETR,TAN,11.86,1.663
STRAY,OTC,DOG,S,NORMAL,ENG COONHOUND,TAN,11.86,1.663
STRAY,OTC,DOG,N,NORMAL,ENG COONHOUND,TAN,11.86,1.663
OWNER SUR,OTC,DOG,N,NORMAL,LABRADOR RETR,BLACK,11.86,1.746
OWNER SUR,OTC,DOG,N,NORMAL,LABRADOR RETR,BLACK,11.86,1.746
OWNER SUR,OTC,DOG,N,NORMAL,GERM SHEPHERD,BLACK,11.86,1.746
STRAY,OTC,DOG,S,NORMAL,CHIHUAHUA SH,CHOCOLATE,11.86,1.746
OWNER SUR,OTC,DOG,N,NORMAL,BERNESE MTN DOG,TRICOLOR,11.86,1.829
STRAY,OTC,DOG,S,NORMAL,GREAT DANE,BLACK,11.86,1.775
STRAY,FIELD,DOG,S,NORMAL,CHIHUAHUA SH,BUFF,11.86,1.858
STRAY,OTC,DOG,M,NORMAL,CHIHUAHUA SH,WHITE,11.86,2.941
STRAY,OTC,DOG,S,NORMAL,PIT BULL,TAN,11.86,3.124
STRAY,OTC,DOG,N,NORMAL,AMER BULLDOG,WHITE,11.86,3.243
OWNER SUR,FIELD,DOG,N,OTHER,LABRADOR RETR,BROWN,11.86,3.246
STRAY,FIELD,DOG,S,NORMAL,LABRADOR RETR,BROWN,11.86,2.355
STRAY,FIELD,DOG,S,NORMAL,BOXER,Y BRINDLE,11.86,2.355
STRAY,FIELD,DOG,S,NORMAL,ROTTWEILER,BLACK,11.86,13.2
STRAY,FIELD,DOG,S,NORMAL,RAT TERRIER,TRICOLOR,11.86,13.243
STRAY,OTC,DOG,N,NORMAL,JACK RUSS TERR,WHITE,11.86,2.186
STRAY,OTC,DOG,N,NORMAL,POODLE MIN,BLACK,11.86,2.985
STRAY,OTC,DOG,S,NORMAL,POODLE MIN,WHITE,11.86,2.985
OWNER SUR,RETURN,DOG,N,NORMAL,BOXER,BR BRINDLE,11.86,14.099
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,11.86,13.436
OWNER SUR,OTC,DOG,S,NORMAL,PIT BULL,FAWN,11.86,18.227
STRAY,OTC,DOG,N,NORMAL,MIN PINSCHER,BLACK,11.86,18.241
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLUE TABBY,11.86,13.186
PUBLIC AST,INVESTIGAT,DOG,S,INJURED,AUST CATTLE DOG,WHITE,11.86,13.186
STRAY,FIELD,DOG,M,NORMAL,PIT BULL,WHITE,11.86,13.186
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,PLOTT HOUND,BLACK,11.86,18.186
STRAY,OTC,DOG,S,NORMAL,BOXER,TAN,11.86,18.936
STRAY,FIELD,DOG,S,NORMAL,PIT BULL,RED,11.86,20.224
ABANDONED,NO SUBTYPE,DOG,S,NORMAL,BEAGLE,TRICOLOR,11.86,21.241
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,11.86,20.189
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC MH,WHITE,11.86,20.189
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BLUE,11.86,20.189
STRAY,OTC,DOG,S,INJURED,CHIHUAHUA SH,TAN,11.86,20.189
ABANDONED,NO SUBTYPE,DOG,S,NORMAL,BEAGLE,TRICOLOR,11.86,23.241
STRAY,FOUND IN,CAT,M,INJURED,DOMESTIC SH,BRN TABBY,11.86,23.219
STRAY,FIELD,DOG,M,INJURED,GOLDEN RETR,RED,11.86,24.219
EUTH REQ,NO SUBTYPE,DOG,S,AGED,LABRADOR RETR,BLACK,11.86,7.249
EUTH REQ,NO SUBTYPE,DOG,M,AGED,COLLIE SMOOTH,WHITE,11.86,8.249
OWNER SUR,OTC,CAT,S,NURSING,DOMESTIC SH,ORG TABBY,12,1.31
OWNER SUR,OTC,CAT,S,NURSING,DOMESTIC SH,TORTIE,12,1.31
PUBLIC AST,INVESTIGAT,CAT,N,NORMAL,DOMESTIC SH,BLUE,12,1.327
PUBLIC AST,INVESTIGAT,CAT,N,NORMAL,DOMESTIC SH,BLUE,12,1.327
PUBLIC AST,INVESTIGAT,CAT,S,NORMAL,DOMESTIC SH,BLACK,12,1.327
PUBLIC AST,INVESTIGAT,CAT,N,NORMAL,DOMESTIC SH,BLK SMOKE,12,1.327
PUBLIC AST,INVESTIGAT,CAT,F,NORMAL,DOMESTIC SH,BLK TABBY,12,1.327
OWNER SUR,OTC,DOG,S,NORMAL,LABRADOR RETR,TAN,12,1.657
OWNER SUR,OTC,DOG,S,NORMAL,LABRADOR RETR,TAN,12,1.657
STRAY,OTC,DOG,N,NORMAL,CHIHUAHUA SH,TAN,12,1.743
OWNER SUR,OTC,CAT,N,SICK,DOMESTIC SH,BLACK,12,1.816
OWNER SUR,OTC,CAT,S,SICK,DOMESTIC SH,BLACK,12,1.816
OWNER SUR,OTC,CAT,S,SICK,DOMESTIC SH,BLACK,12,1.816
STRAY,FIELD,DOG,N,OTHER,PIT BULL,WHITE,12,1.78
STRAY,FIELD,DOG,N,NORMAL,AMER BULLDOG,TAN,12,2.396
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLACK,12,13.211
OWNER SUR,OTC,DOG,M,SICK,PIT BULL,BR BRINDLE,12,2.186
STRAY,FIELD,DOG,S,NORMAL,CHIHUAHUA SH,BLACK,12,2.186
OWNER SUR,OTC,DOG,M,NORMAL,AMERICAN STAFF,BR BRINDLE,12,2.186
STRAY,OTC,DOG,N,NORMAL,GREAT PYRENEES,WHITE,12,2.985
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,TORBIE,12,2.988
OWNER SUR,OTC,DOG,S,NORMAL,BRUSS GRIFFON,TAN,12,13.186
OWNER SUR,OTC,DOG,S,NORMAL,BRUSS GRIFFON,TAN,12,13.186
OWNER SUR,OTC,DOG,M,NORMAL,GERM SHEPHERD,BLACK,12,13.186
STRAY,FIELD,DOG,S,NORMAL,AUST CATTLE DOG,BLACK,12,13.186
STRAY,FIELD,DOG,N,NORMAL,JACK RUSS TERR,WHITE,12,13.186
STRAY,OTC,DOG,S,NORMAL,PUG,TAN,12,13.186
STRAY,FIELD,CAT,N,INJURED,DOMESTIC SH,BLUE TABBY,12,13.186
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,12,18.186
STRAY,OTC,DOG,N,NORMAL,LABRADOR RETR,BLACK,12,18.186
OWNER SUR,OTC,DOG,S,NORMAL,AMER BULLDOG,WHITE,12,18.219
STRAY,OTC,DOG,N,NORMAL,BORDER COLLIE,RED,12,20.216
OWNER SUR,OTC,DOG,N,NORMAL,ANATOL SHEPHERD,TAN,12,19.613
STRAY,FIELD,DOG,S,OTHER,AUST CATTLE DOG,CREAM,12,21.232
STRAY,OTC,DOG,N,OTHER,DACHSHUND,RED,12,21.243
STRAY,OTC,DOG,S,NORMAL,GERM SHEPHERD,BLACK,12,20.738
OWNER SUR,OTC,DOG,N,NORMAL,ROTTWEILER,TRICOLOR,12,20.797
STRAY,OTC,DOG,N,NORMAL,COCKER SPAN,CHOCOLATE,12,21.189
STRAY,OTC,DOG,N,NORMAL,ALASK MALAMUTE,BLACK,12,22.189
STRAY,FIELD,DOG,F,NORMAL,LABRADOR RETR,BLACK,12,23.51
STRAY,OTC,DOG,S,NORMAL,ALASK MALAMUTE,WHITE,12,23.219
STRAY,FIELD,DOG,N,OTHER,LABRADOR RETR,BLACK,12,24.513
STRAY,OTC,DOG,M,NORMAL,BULLDOG,BR BRINDLE,12,3.235
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,CHOCOLATE,12,24.835
OWNER SUR,OTC,DOG,N,NORMAL,BRUSS GRIFFON,TAN,12,3.219
STRAY,EMERG CLC,DOG,F,INJURED,COCKER SPAN,TAN,12,5.249
STRAY,EMERG CLC,DOG,F,INJURED,COCKER SPAN,TAN,12,5.249
STRAY,OTC,DOG,M,AGED,POMERANIAN,BLACK,12,7.189
OWNER SUR,FIELD,DOG,S,INJURED,PIT BULL,BLACK,12.14,1.297
OWNER SUR,FIELD,DOG,N,NURSING,PIT BULL,BLACK,12.14,1.297
OWNER SUR,FIELD,DOG,S,NURSING,PIT BULL,BLACK,12.14,1.297
OWNER SUR,FIELD,DOG,N,NURSING,PIT BULL,BLACK,12.14,1.297
OWNER SUR,FIELD,DOG,N,NURSING,PIT BULL,BLACK,12.14,1.297
OWNER SUR,FIELD,DOG,N,NURSING,PIT BULL,BLACK,12.14,1.297
OWNER SUR,FIELD,DOG,N,NURSING,PIT BULL,BLACK,12.14,1.297
OWNER SUR,FIELD,DOG,M,INJURED,PIT BULL,BLACK,12.14,1.335
STRAY,OTC,DOG,N,SICK,PLOTT HOUND,BR BRINDLE,12.14,1.283
STRAY,OTC,DOG,S,NORMAL,RAT TERRIER,TRICOLOR,12.14,1.638
STRAY,FIELD,DOG,S,NORMAL,AUST SHEPHERD,WHITE,12.14,1.657
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,ORG TABBY,12.14,1.66
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,12.14,1.66
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,12.14,1.663
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,12.14,1.663
STRAY,FIELD,DOG,S,NORMAL,AUST SHEPHERD,WHITE,12.14,1.663
STRAY,FIELD,DOG,S,NORMAL,AUST SHEPHERD,WHITE,12.14,1.663
STRAY,FIELD,DOG,S,NORMAL,AUST SHEPHERD,WHITE,12.14,1.663
STRAY,FIELD,DOG,S,NORMAL,AUST SHEPHERD,WHITE,12.14,1.663
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,ROTTWEILER,BLACK,12.14,1.682
STRAY,FIELD,DOG,M,NORMAL,CHOW CHOW,RED,12.14,1.829
STRAY,FIELD,DOG,M,NORMAL,GERM SHEPHERD,RED,12.14,1.829
STRAY,FIELD,DOG,N,NORMAL,BLACK/TAN HOUND,BLACK,12.14,1.777
STRAY,FIELD,DOG,S,NORMAL,BLACK/TAN HOUND,BLACK,12.14,1.777
STRAY,NO SUBTYPE,DOG,S,NORMAL,CHIHUAHUA SH,TAN,12.14,2.186
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,CHIHUAHUA SH,BUFF,12.14,2.186
OWNER SUR,FIELD,DOG,S,INJURED,PIT BULL,TAN,12.14,2.186
STRAY,FIELD,DOG,N,NORMAL,LABRADOR RETR,BLACK,12.14,2.324
STRAY,OTC,DOG,S,NORMAL,CHIHUAHUA SH,BROWN,12.14,2.996
STRAY,OTC,DOG,M,NORMAL,LABRADOR RETR,BROWN,12.14,13.186
STRAY,OTC,DOG,N,NORMAL,ENG COONHOUND,TAN,12.14,13.186
STRAY,EMERG CLC,DOG,S,NORMAL,AM PIT BULL TER,BLUE,12.14,13.186
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,PIT BULL,BR BRINDLE,12.14,19.013
STRAY,FIELD,DOG,N,NORMAL,CHIHUAHUA SH,CHOCOLATE,12.14,19.235
OWNER SUR,OTC,DOG,S,NORMAL,CHIHUAHUA SH,CHOCOLATE,12.14,18.186
STRAY,OTC,DOG,N,NORMAL,GREAT PYRENEES,WHITE,12.14,18.186
STRAY,OTC,DOG,F,NORMAL,GREAT PYRENEES,WHITE,12.14,18.186
STRAY,OTC,DOG,S,NORMAL,BULL TERRIER,BROWN,12.14,18.186
STRAY,FIELD,DOG,S,NORMAL,CHIHUAHUA SH,WHITE,12.14,18.186
STRAY,EMERG CLC,DOG,S,INJURED,SCHNAUZER MIN,BLACK,12.14,19.189
STRAY,EMERG CLC,DOG,N,NORMAL,COLLIE SMOOTH,SABLE,12.14,19.603
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,TORBIE,12.14,21.243
OWNER SUR,OTC,DOG,S,OTHER,DACHSHUND,TRICOLOR,12.14,20.186
STRAY,FIELD,DOG,F,NORMAL,CHIHUAHUA SH,TAN,12.14,20.189
OWNER SUR,OTC,DOG,N,NORMAL,CHOW CHOW,BLACK,12.14,20.189
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,CALICO,12.14,20.189
STRAY,OTC,DOG,N,NORMAL,LABRADOR RETR,BLACK,12.14,20.189
STRAY,OTC,DOG,N,NORMAL,BULLMASTIFF,BR BRINDLE,12.14,20.189
STRAY,OTC,DOG,N,NORMAL,GERM SHEPHERD,BLACK,12.14,21.477
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BLUE,12.14,22.238
STRAY,FIELD,CAT,N,INJURED,DOMESTIC SH,BRN TABBY,12.14,22.238
STRAY,OTC,DOG,S,NORMAL,AUST CATTLE DOG,BLACK,12.14,22.189
STRAY,NO SUBTYPE,DOG,N,NORMAL,POODLE TOY,BLACK,12.14,24.219
STRAY,OTC,DOG,S,NORMAL,FLAT COAT RETR,BLACK,12.14,6.249
OWNER SUR,OTC,CAT,S,NORMAL,MAINE COON,CALICO,12.14,7.993
OWNER SUR,QUARANTINE,CAT,N,NURSING,DOMESTIC SH,LILAC PT,12.29,1.249
OWNER SUR,QUARANTINE,CAT,N,NURSING,DOMESTIC SH,WHITE,12.29,1.249
OWNER SUR,QUARANTINE,CAT,S,NURSING,DOMESTIC SH,LILAC PT,12.29,1.249
